cluster,depth,startdate,type,sequence,seqdep,phase
5,33.0,2003-03-17,E,E5,E5,1
8,,2003-03-17,V,V8,V8,1
11,33.5,2003-03-19,E,E11,E11,1
6,33.0,2003-03-25,E,E6,E6,2
11,41.2,2003-03-28,E,E11,E11,3
6,33.0,2003-03-30,E,E6,E6,3
11,46.8,2003-03-31,E,E11,E11,3
11,,2003-04-01,V,V11,V11,3
9,10.0,2003-04-02,E,E9,E9,0
3,,2003-04-09,V,V3,V3,0
11,,2003-04-10,V,V11,V11,1
14,10.0,2003-04-11,E,E14,E14,1
11,,2003-04-14,V,V11,V11,1
13,14.0,2003-04-17,E,E13,E13,1
2,10.0,2003-04-17,E,E2,E2,1
7,,2003-04-17,V,V7,V7,1
7,43.8,2003-04-24,E,E7,E7,2
11,77.4,2003-04-27,E,E11,E11D,3
14,559.9,2003-04-27,E,E14,E14DD,3
7,62.5,2003-04-29,E,E7,E7,3
13,10.0,2003-05-01,E,E13,E13,3
11,33.0,2003-05-03,E,E11,E11,0
11,62.4,2003-05-04,E,E11,E11,0
11,33.0,2003-05-04,E,E11,E11,0
11,45.6,2003-05-04,E,E11,E11,0
6,123.6,2003-05-05,E,E6,E6D,0
6,56.0,2003-05-05,E,E6,E6,0
3,,2003-05-06,V,V3,V3,0
2,10.0,2003-05-09,E,E2,E2,0
1,,2003-05-10,V,V1,V1,1
6,30.2,2003-05-11,E,E6,E6,1
11,33.0,2003-05-13,E,E11,E11,1
10,79.1,2003-05-14,E,E10,E10D,1
14,41.5,2003-05-14,E,E14,E14,1
11,,2003-05-17,V,V11,V11,1
0,10.0,2003-05-19,E,E0,E0,2
11,563.8,2003-05-19,E,E11,E11DD,2
9,12.0,2003-05-21,E,E9,E9,2
3,,2003-05-23,V,V3,V3,2
6,31.0,2003-05-26,E,E6,E6,3
6,565.8,2003-05-26,E,E6,E6DD,3
7,68.0,2003-05-26,E,E7,E7,3
2,10.0,2003-05-28,E,E2,E2,3
2,,2003-05-30,V,V2,V2,3
6,,2003-05-30,V,V6,V6,3
0,,2003-05-31,V,V0,V0,3
3,33.0,2003-06-03,E,E3,E3,0
11,33.0,2003-06-07,E,E11,E11,0
11,,2003-06-08,V,V11,V11,0
2,,2003-06-09,V,V2,V2,1
8,44.5,2003-06-10,E,E8,E8,1
11,186.3,2003-06-12,E,E11,E11D,1
5,20.0,2003-06-15,E,E5,E5,1
7,174.8,2003-06-16,E,E7,E7D,1
14,,2003-06-17,V,V14,V14,2
14,558.1,2003-06-20,E,E14,E14DD,2
3,33.0,2003-06-20,E,E3,E3,2
5,20.0,2003-06-23,E,E5,E5,2
6,10.0,2003-06-26,E,E6,E6,3
6,,2003-06-26,V,V6,V6,3
11,10.0,2003-06-28,E,E11,E11,3
6,33.0,2003-07-01,E,E6,E6,0
6,635.4,2003-07-01,E,E6,E6DD,0
10,,2003-07-01,V,V10,V10,0
11,10.0,2003-07-03,E,E11,E11,0
11,10.0,2003-07-04,E,E11,E11,0
8,,2003-07-10,V,V8,V8,1
5,20.0,2003-07-12,E,E5,E5,1
11,33.0,2003-07-15,E,E11,E11,1
2,10.0,2003-07-15,E,E2,E2,1
0,10.0,2003-07-17,E,E0,E0,2
11,189.6,2003-07-21,E,E11,E11D,2
8,10.0,2003-07-21,E,E8,E8,2
11,33.0,2003-07-22,E,E11,E11,2
11,24.0,2003-07-25,E,E11,E11,3
7,6.0,2003-07-25,E,E7,E7,3
7,,2003-07-26,V,V7,V7,3
11,212.9,2003-07-27,E,E11,E11D,3
3,345.3,2003-07-27,E,E3,E3DD,3
7,470.3,2003-07-27,E,E7,E7DD,3
3,,2003-07-30,V,V3,V3,0
6,,2003-07-31,V,V6,V6,0
3,10.0,2003-08-04,E,E3,E3,0
10,100.2,2003-08-11,E,E10,E10D,1
11,10.0,2003-08-11,E,E11,E11,1
6,10.0,2003-08-11,E,E6,E6,1
9,10.0,2003-08-14,E,E9,E9,1
11,28.0,2003-08-21,E,E11,E11,2
11,33.0,2003-08-21,E,E11,E11,2
14,100.0,2003-08-25,E,E14,E14D,3
4,10.0,2003-08-28,E,E4,E4,0
6,409.2,2003-08-28,E,E6,E6DD,0
3,,2003-08-29,V,V3,V3,0
11,137.0,2003-08-30,E,E11,E11D,0
7,481.1,2003-08-31,E,E7,E7DD,0
11,10.0,2003-09-02,E,E11,E11,0
4,10.0,2003-09-06,E,E4,E4,1
11,33.0,2003-09-07,E,E11,E11,1
11,10.0,2003-09-11,E,E11,E11,1
11,50.4,2003-09-12,E,E11,E11,1
6,,2003-09-12,V,V6,V6,1
10,10.0,2003-09-21,E,E10,E10,3
9,10.0,2003-09-21,E,E9,E9,3
14,10.0,2003-09-22,E,E14,E14,3
14,,2003-09-22,V,V14,V14,3
7,33.0,2003-09-25,E,E7,E7,3
7,27.0,2003-09-25,E,E7,E7,3
7,33.0,2003-09-26,E,E7,E7,3
13,10.0,2003-09-27,E,E13,E13,0
13,16.0,2003-09-27,E,E13,E13,0
7,25.0,2003-09-29,E,E7,E7,0
11,10.0,2003-09-30,E,E11,E11,0
11,33.0,2003-09-30,E,E11,E11,0
3,10.0,2003-09-30,E,E3,E3,0
13,10.0,2003-10-01,E,E13,E13,0
11,10.0,2003-10-07,E,E11,E11,1
7,32.0,2003-10-08,E,E7,E7,1
8,33.0,2003-10-09,E,E8,E8,1
11,10.0,2003-10-13,E,E11,E11,2
11,582.6,2003-10-15,E,E11,E11DD,2
11,133.0,2003-10-17,E,E11,E11D,2
6,33.0,2003-10-18,E,E6,E6,2
11,53.5,2003-10-22,E,E11,E11,3
11,,2003-10-26,V,V11,V11,0
11,65.0,2003-10-28,E,E11,E11,0
