Year,Value
199810,0.4942
199811,0.4091
199812,0.5803
199901,0.5015
199902,0.6728
199903,0.3721
199904,0.4583
199905,0.4094
199906,0.4191
199907,0.4017
199908,0.3676
199909,0.3976
199910,0.3742
199911,0.3673
199912,0.5781
200001,0.3445
200002,0.5424
200003,0.5546
200004,0.6294
200005,0.4679
200006,0.4048
200007,0.3939
200008,0.4559
200009,0.4345
200010,0.3018
200011,0.2574
200012,0.3194
200101,0.4744
200102,0.3950
200103,0.6304
200104,0.5658
200105,0.5997
200106,0.5340
200107,0.5576
200108,0.6015
200109,0.5037
200110,0.4967
200111,0.6834
200112,0.5088
200201,0.7019
200202,0.7845
200203,0.7900
200204,0.5717
200205,0.5633
200206,0.5878
200207,0.6229
200208,0.5380
200209,0.5674
200210,0.4775
200211,0.5897
200212,0.4359
200301,0.6911
200302,0.5627
200303,0.5676
200304,0.5611
200305,0.5964
200306,0.5387
200307,0.5432
200308,0.6207
200309,0.6415
200310,0.7286
200311,0.5781
200312,0.7368
200401,0.5979
200402,0.7237
200403,0.7011
200404,0.5954
200405,0.4468
200406,0.4692
200407,0.4819
200408,0.5151
200409,0.5313
200410,0.6182
200411,0.7595
200412,0.5104
200501,0.6256
200502,0.5187
200503,0.6939
200504,0.7327
200505,0.6586
200506,0.6713
200507,0.6590
200508,0.6265
200509,0.6898
200510,0.6933
200511,0.7281
200512,0.6208
200601,0.4656
200602,0.6227
200603,0.5959
200604,0.5200
200605,0.5515
200606,0.6354
200607,0.6187
200608,0.6224
200609,0.6305
200610,0.6789
200611,0.6405
200612,0.7646
200701,0.8824
200702,0.6629
200703,0.6681
200704,0.7333
200705,0.6087
200706,0.5366
200707,0.5278
200708,0.5496
200709,0.5772
200710,0.5644
200711,0.5154
200712,0.4862
200801,0.2728
200802,0.3751
200803,0.7596
200804,0.4816
200805,0.4992
200806,0.5284
200807,0.5750
200808,0.5570
200809,0.5294
200810,0.6677
200811,0.6669
200812,0.5623
200901,0.5916
200902,0.5645
200903,0.5770
200904,0.6504
200905,0.5858
200906,0.6705
200907,0.6403
200908,0.6961
200909,0.7066
200910,0.6399
200911,0.6681
200912,0.6124
201001,0.7000
201002,0.7119
201003,0.8478
201004,0.8281
201005,0.7581
201006,0.7320
201007,0.7271
201008,0.6555
201009,0.5697
201010,0.6224
201011,0.7676
201012,0.4849
201101,0.4674
201102,0.4931
201103,0.5889
201104,0.6500
201105,0.5739
201106,0.6407
201107,0.6246
201108,0.6127
201109,0.5965
201110,0.6344
201111,0.4837
201112,0.5440
201201,0.4197
201202,0.4231
201203,0.5216
201204,0.7292
201205,0.7175
201206,0.6992
201207,0.6826
201208,0.6660
201209,0.7219
201210,0.7005
201211,0.7047
201212,0.4593
201301,0.5852
201302,0.6361
201303,0.6108
201304,0.5615
201305,0.7137
201306,0.6823
201307,0.6677
201308,0.6633
201309,0.6828
201310,0.6751
201311,0.8247
201312,0.6957
201401,0.6926
201402,0.4810
201403,0.7707
201404,0.8001
201405,0.7917
201406,0.7582
201407,0.6952
201408,0.7960
201409,0.7865
201410,0.7839
201411,0.6873
201412,0.8328
201501,0.8152
201502,0.8835
201503,0.8953
201504,0.7746
201505,0.8552
201506,0.8780
201507,0.8036
201508,0.8720
201509,0.9209
201510,0.9904
201511,0.9634
201512,1.1212
201601,1.0497
201602,1.1951
201603,1.2318
201604,1.0759
201605,0.8777
201606,0.8957
201607,0.8638
201608,0.9150
