,”long","lat","clust"
"600709",139.6554,33.1456,8
"600710",144.0284,12.9851,2
"600711",139.4633,33.2015,8
"600712",4.556,35.671,10
"600713",139.4185,33.3473,8
"600714",139.4943,33.3907,8
"600715",142.4492,40.2417,8
"600716",-147.3308,64.7709,6
"600717",28.5652,43.3661,10
"600718",139.4586,33.1619,8
"600719",-97.5652,35.9874,1
"600720",-178.6647,-20.8195,5
"600721",-96.923,16.111,1
"600722",-171.811,52.1079,13
"600723",152.4198,-5.6128,12
"600724",65.985,27.3323,14
"600725",161.6637,-10.6021,12
"600726",-150.5623,61.3865,6
"600727",-67.7818,19.1625,15
"600728",46.3268,12.0258,14
"600729",41.0503,-15.6101,3
"600730",-177.4359,-19.9711,5
"600731",-179.3232,-35.1376,5
"600732",46.4249,12.0845,14
"600733",-178.1029,-32.0677,5
"600734",-71.69,-35.347,4
"600735",-76.015,-14.7209,4
"600736",-69.238,-32.051,4
"600737",116.0564,-8.6629,7
"600738",-179.7502,-23.0705,5
"600739",-12.9747,-11.1761,4
"600740",141.6089,42.6168,8
"600741",70.3008,36.5603,14
"600742",-74.5435,45.4743,1
"600743",145.1523,18.8249,2
"600744",-67.673,18.9895,15
"600745",125.2163,24.7155,9
"600746",142.5529,41.3945,8
"600747",139.4261,33.1865,8
"600748",-175.6487,-24.2792,5
"600749",139.5185,33.2096,8
"600750",123.001,7.0916,7
"600751",-119.6265,41.8782,1
"600752",-119.644,41.88,1
"600753",-119.6284,41.8712,1
"600754",-119.6367,41.8986,1
"600755",-119.6545,41.8557,1
"600756",-119.6373,41.9006,1
"600757",-176.2207,-26.7699,5
"600758",-176.4458,-26.8664,5
"600759",-119.6167,41.8872,1
"600760",74.2156,-28.0427,3
"600761",-65.4702,19.6877,15
"600762",-173.6007,51.2884,13
"600763",-88.3489,12.7885,15
"600764",142.0076,38.2828,8
"600765",-119.6478,41.8534,1
"600766",-67.774,18.7963,15
"600767",139.4635,33.2216,8
"600768",-35.2274,55.3773,10
"600769",-107.4461,-7.2739,1
"600770",-67.8963,18.5217,15
"600771",139.5767,33.1998,8
"600772",-119.6366,41.8714,1
"600773",-89.8533,14.0799,15
"600774",-71.8098,-29.5,4
"600775",-148.3436,66.4376,6
"600776",-65.5002,19.6042,15
"600777",-58.4748,13.8703,15
"600778",132.5244,-5.2595,7
"600779",-65.5967,19.6242,15
"600780",-176.2522,-26.7179,5
"600781",146.9194,14.6091,2
"600782",-113.589,29.165,1
"600783",126.6979,0.5931,7
"600784",121.5139,-9.367,7
"600785",-58.5388,13.8783,15
"600786",-178.3522,-32.3571,5
"600787",-178.0526,-32.2231,5
"600788",-58.4236,13.9543,15
"600789",-178.0215,-32.5781,5
"600790",-90.0036,13.412,15
"600791",-119.63,41.8954,1
"600792",139.4805,33.2913,8
"600793",-64.5006,19.6107,15
"600794",-178.5151,51.1595,13
"600795",-67.8518,18.9197,15
"600796",-67.7203,19.1057,15
"600797",-67.7273,18.8787,15
"600798",-178.603,-17.3606,5
"600799",125.3548,5.19,7
"600800",-67.7623,18.9598,15
"600801",-67.6101,18.9004,15
"600802",-67.6955,19.0293,15
"600803",-67.8062,18.8978,15
"600804",-177.8718,-32.202,5
"600805",-68.0222,19.0345,15
