Latitude,Longitude,VEI,cluster,depth,mag,startdate,type,sequence,scale
-22.146,-68.216,,3,115.0,6.3,2010-07-12,E,E3,
-38.067,-73.31,,3,22.0,6.6,2010-07-14,E,E3,
-5.966,150.428,,11,28.0,6.9,2010-07-18,E,E11,
-5.931,150.59,,11,35.0,7.4,2010-07-18,E,E11,
52.815,-169.719,,5,10.0,6.0,2010-07-18,E,E5,
52.876,-169.848,,5,14.0,6.7,2010-07-18,E,E5,
-5.902,150.712,,11,24.0,6.3,2010-07-20,E,E11,
3.039,128.222,,6,100.0,6.1,2010-07-21,E,E6,
-15.132,168.162,,11,6.0,6.1,2010-07-22,E,E11,
6.776,123.259,,6,640.6,7.5,2010-07-23,E,E6,
6.497,123.48,,6,578.0,7.6,2010-07-23,E,E6,
6.718,123.409,,6,607.1,7.3,2010-07-23,E,E6,
-4.271,152.203,1,11,,,2010-07-23,V,V11,
6.218,123.519,,6,553.0,6.6,2010-07-24,E,E6,
6.548,123.222,,6,618.0,6.6,2010-07-29,E,E6,
52.498,159.843,,7,23.0,6.3,2010-07-30,E,E7,
1.239,126.213,,6,41.0,6.3,2010-08-03,E,E6,
-5.746,150.765,,11,44.0,7.0,2010-08-04,E,E11,
-26.916,-177.245,,11,19.0,6.0,2010-08-04,E,E11,
-5.486,146.822,,11,220.0,6.5,2010-08-04,E,E11,
51.423,-178.649,,5,27.0,6.4,2010-08-04,E,E5,
45.98,153.175,,7,27.8,6.0,2010-08-04,E,E7,
2.78,125.4,3,6,,,2010-08-06,V,V6,
-17.541,168.069,,11,25.0,7.3,2010-08-10,E,E11,
-4.08,145.037,2,11,,,2010-08-10,V,V11,
-1.266,-77.306,,14,206.7,7.1,2010-08-12,E,E14,
12.487,141.474,,1,16.0,6.9,2010-08-13,E,E1,
12.273,141.429,,1,13.0,6.6,2010-08-14,E,E1,
12.348,141.487,,1,10.0,6.2,2010-08-14,E,E1,
-5.692,148.342,,11,174.7,6.3,2010-08-15,E,E11,
-20.799,-178.826,,11,603.2,6.2,2010-08-16,E,E11,
-17.759,65.647,,2,9.8,6.3,2010-08-16,E,E2,
12.234,141.514,,1,10.0,6.3,2010-08-18,E,E1,
-6.57,154.246,,11,19.0,6.1,2010-08-20,E,E11,
18.795,-107.193,,0,10.0,6.2,2010-08-24,E,E0,
1.22,-77.37,2,14,,,2010-08-25,V,V14,
37.734,15.004,1,9,,,2010-08-25,V,V9,
3.17,98.392,2,10,,,2010-08-27,V,V10,
-43.522,171.83,,11,12.0,7.0,2010-09-03,E,E11,
51.451,-175.87,,5,23.5,6.5,2010-09-03,E,E5,
-17.368,-173.999,,11,69.0,6.1,2010-09-04,E,E11,
-35.223,-70.568,2,3,,,2010-09-06,V,V3,
-15.879,-179.306,,11,9.0,6.3,2010-09-07,E,E11,
-20.671,169.818,,11,10.0,6.3,2010-09-08,E,E11,
-37.034,-73.412,,3,16.0,6.2,2010-09-09,E,E3,
36.443,70.774,,13,220.1,6.3,2010-09-17,E,E13,
12.278,93.858,2,10,,,2010-09-17,V,V10,
-5.314,133.917,,6,30.0,6.0,2010-09-26,E,E6,
-4.909,133.712,,6,10.0,6.2,2010-09-29,E,E6,
-4.963,133.76,,6,26.0,7.0,2010-09-29,E,E6,
24.27,125.154,,8,32.0,6.3,2010-10-04,E,E8,
51.287,-175.18,,5,27.7,6.0,2010-10-08,E,E5,
51.374,-175.361,,5,19.0,6.4,2010-10-08,E,E5,
2.831,128.217,,6,120.0,6.2,2010-10-08,E,E6,
-21.244,55.708,1,2,,,2010-10-14,V,V2,
24.696,-109.156,,0,13.0,6.7,2010-10-21,E,E0,
-2.958,100.372,,10,26.0,6.3,2010-10-25,E,E10,
-3.487,100.082,,10,20.1,7.8,2010-10-25,E,E10,
-6.102,105.423,2,10,,,2010-10-25,V,V10,
-7.542,110.442,4,10,,,2010-10-26,V,V10,
-56.586,-142.292,,4,10.0,6.4,2010-10-30,E,E4,
-20.466,-174.28,,11,18.0,6.1,2010-11-03,E,E11,
-4.617,134.071,,6,10.0,6.0,2010-11-03,E,E6,
12.77,124.05,2,6,,,2010-11-06,V,V6,
-45.464,96.394,,2,10.0,6.5,2010-11-10,E,E2,
55.131,160.32,3,7,,,2010-11-11,V,V7,
-57.8,-26.483,1,3,,,2010-11-17,V,V3,
-54.967,-131.479,,4,10.0,6.0,2010-11-21,E,E4,
-1.467,-78.442,3,14,,,2010-11-22,V,V14,
-5.959,148.966,,11,68.0,6.1,2010-11-23,E,E11,
-7.942,112.95,3,10,,,2010-11-26,V,V10,
28.349,139.187,,1,470.0,6.8,2010-11-30,E,E1,
-15.888,-178.956,,11,15.2,6.1,2010-12-01,E,E11,
-6.001,149.977,,11,33.0,6.6,2010-12-02,E,E11,
-56.412,-25.741,,3,29.4,6.3,2010-12-08,E,E3,
-6.534,155.647,,11,135.8,6.2,2010-12-13,E,E11,
-7.268,128.786,,6,134.9,6.0,2010-12-15,E,E6,
28.412,59.18,,13,12.0,6.7,2010-12-20,E,E13,
26.901,143.698,,1,14.0,7.4,2010-12-21,E,E1,
26.81,143.595,,1,18.0,6.4,2010-12-22,E,E1,
53.127,171.161,,7,18.0,6.4,2010-12-23,E,E7,
-19.702,167.947,,11,16.0,7.3,2010-12-25,E,E11,
-19.616,168.284,,11,13.0,6.0,2010-12-26,E,E11,
-23.407,-179.802,,11,551.0,6.3,2010-12-28,E,E11,
-19.661,168.14,,11,16.0,6.4,2010-12-29,E,E11,
-26.803,-63.136,,3,576.8,7.0,2011-01-01,E,E3,
-38.355,-73.326,,3,24.0,7.2,2011-01-02,E,E3,
14.242,40.3,0,13,,,2011-01-04,V,V13,
-22.26,171.631,,11,112.2,6.1,2011-01-05,E,E11,
-19.201,168.155,,11,18.0,6.1,2011-01-09,E,E11,
-19.155,168.312,,11,22.0,6.6,2011-01-09,E,E11,
26.973,139.882,,1,512.0,6.5,2011-01-12,E,E1,
-20.628,168.471,,11,9.0,7.0,2011-01-13,E,E11,
10.025,-83.767,1,14,,,2011-01-14,V,V14,
-5.03,102.647,,10,36.0,6.0,2011-01-17,E,E10,
28.777,63.951,,13,68.0,7.2,2011-01-18,E,E13,
31.934,130.862,2,8,,,2011-01-19,V,V8,
38.413,72.791,,13,110.0,6.0,2011-01-24,E,E13,
2.205,96.829,,10,23.0,6.1,2011-01-26,E,E10,
28.195,59.015,,13,10.0,6.2,2011-01-27,E,E13,
70.931,-6.657,,9,15.0,6.2,2011-01-29,E,E9,
-22.009,-175.622,,11,76.0,6.0,2011-01-31,E,E11,
-15.511,-173.068,,11,10.0,6.0,2011-02-03,E,E11,
24.618,94.68,,8,85.0,6.2,2011-02-04,E,E8,
-7.154,155.184,,11,415.0,6.4,2011-02-07,E,E11,
4.077,123.039,,6,525.0,6.6,2011-02-10,E,E6,
4.195,122.974,,6,523.2,6.5,2011-02-10,E,E6,
-36.422,-72.96,,3,26.0,6.9,2011-02-11,E,E3,
-37.196,-73.198,,3,15.0,6.0,2011-02-11,E,E3,
-20.879,-175.672,,11,85.0,6.1,2011-02-12,E,E11,
-37.027,-72.954,,3,16.0,6.1,2011-02-12,E,E3,
-36.649,-73.176,,3,17.0,6.0,2011-02-13,E,E3,
-35.38,-72.834,,3,21.0,6.7,2011-02-14,E,E3,
-2.497,121.483,,6,16.2,6.1,2011-02-15,E,E6,
